segment_key,track_id,events,old_n_steps,event_count_match,rho_coordinate_max_abs_error_km,tau_nonincreasing_adjacent_pairs,tau_duplicate_fixes,tau_confirmation_reach_positive,rho_support_old,rho_support_rebuilt,rho_support_abs_error,eligible_records_min,eligible_records_median,panel,replicate,rho_chl_support,rho_chl_median_log_length
WA_XGPS20152016CRO10331_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10331_GPSdata_RS.xlsx,245.0,245.0,True,1.3073986337985845e-12,4.0,4.0,True,139.60459424558553,139.60459424558553,0.0,1.0,5.0,a-c,,,
WA_XGPS20152016CRO10411_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10411_GPSdata_RS.xlsx,150.0,150.0,True,8.488765246283947e-13,0.0,0.0,True,252.8455725231654,252.8455725231654,0.0,1.0,3.0,a-c,,,
WA_XGPS20152016CRO10421_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10421_GPSdata_RS.xlsx,156.0,156.0,True,1.3642420526593924e-12,0.0,0.0,True,51.86794836516356,51.86794836516356,7.105427357601002e-15,1.0,10.0,a-c,,,
WA_XGPS20152016CRO10431_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10431_GPSdata_RS.xlsx,44.0,44.0,True,8.313350008393172e-13,0.0,0.0,True,16.262702750041456,16.262702750041456,0.0,1.0,35.0,a-c,,,
WA_XGPS20152016CRO10441_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO10441_GPSdata_RS.xlsx,95.0,95.0,True,1.4530598946294049e-12,0.0,0.0,True,41.33222282023246,41.332222820232346,1.1368683772161605e-13,1.0,16.0,a-c,,,
WA_XGPS20152016CRO10621_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10621_GPSdata_RS.xlsx,77.0,77.0,True,2.120970066243899e-12,0.0,0.0,True,5.406846104050942,5.406846104050942,0.0,1.0,21.0,a-c,,,
WA_XGPS20152016CRO10811_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10811_GPSdata_RS.xlsx,169.0,169.0,True,2.106925744982391e-12,0.0,0.0,True,176.28205991748473,176.28205991748473,0.0,1.0,4.0,a-c,,,
WA_XGPS20152016CRO10821_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO10821_GPSdata_RS.xlsx,39.0,39.0,True,7.087663789206999e-13,0.0,0.0,True,3.0851417233452594,3.0851417233466805,1.4210854715202004e-12,1.0,28.0,a-c,,,
WA_XGPS20152016CRO10911_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO10911_GPSdata_RS.xlsx,162.0,162.0,True,1.3935519405094965e-12,1.0,1.0,True,85.83035716287486,85.83035716287486,0.0,1.0,9.0,a-c,,,
WA_XGPS20152016CRO20011_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20011_GPSdata_RS.xlsx,223.0,223.0,True,1.4508394485801546e-12,1.0,1.0,True,274.78677518915856,274.7867751891588,2.273736754432321e-13,1.0,7.0,a-c,,,
WA_XGPS20152016CRO20111_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20111_GPSdata_RS.xlsx,97.0,97.0,True,1.0302869668521453e-12,0.0,0.0,True,118.4319378540148,118.4319378540148,1.4210854715202004e-14,1.0,19.0,a-c,,,
WA_XGPS20152016CRO20131_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20131_GPSdata_RS.xlsx,74.0,74.0,True,6.821210263296962e-13,1.0,1.0,True,150.26846322170002,150.26846322170277,2.7284841053187847e-12,1.0,7.0,a-c,,,
WA_XGPS20152016CRO20311_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20311_GPSdata_RS.xlsx,154.0,154.0,True,1.4210854715202004e-12,0.0,0.0,True,20.932822929404097,20.932822929395,9.094947017729282e-12,1.0,4.0,a-c,,,
WA_XGPS20152016CRO20321_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20321_GPSdata_RS.xlsx,144.0,144.0,True,9.586220706125914e-13,1.0,1.0,True,134.05986699298126,134.05986699298126,0.0,1.0,6.0,a-c,,,
WA_XGPS20152016CRO20331_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20331_GPSdata_RS.xlsx,206.0,206.0,True,1.1226575225009585e-12,0.0,0.0,True,144.14621401593126,144.1462140158808,5.047695594839752e-11,1.0,9.5,a-c,,,
WA_XGPS20152016CRO20341_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO20341_GPSdata_RS.xlsx,111.0,111.0,True,1.3129497489217101e-12,0.0,0.0,True,84.80404309759024,84.80404309759024,0.0,1.0,17.0,a-c,,,
WA_XGPS20152016CRO20511_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20511_GPSdata_RS.xlsx,116.0,116.0,True,1.4053203045705234e-12,0.0,0.0,True,156.1516976817104,156.1516976817104,0.0,1.0,6.0,a-c,,,
WA_XGPS20152016CRO20521_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20521_GPSdata_RS.xlsx,119.0,119.0,True,8.881784197001252e-13,1.0,0.0,True,65.41844931374635,65.41844931374635,0.0,1.0,22.0,a-c,,,
WA_XGPS20152016CRO20621_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO20621_GPSdata_RS.xlsx,71.0,71.0,True,1.3878898030839082e-12,0.0,0.0,True,33.435129541545734,33.435129541545734,0.0,2.0,17.0,a-c,,,
WA_XGPS20152016CRO20911_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20911_GPSdata_RS.xlsx,274.0,274.0,True,2.0605739337042905e-12,3.0,2.0,True,125.4396270058503,125.4396270058503,0.0,1.0,8.0,a-c,,,
