dataset,scale_m,event_id,n_runs,n_record_runs,decomposition_residual,panel,temporal_identity_residual,frozen_events,geometry_pass,a_chl_eligible,a_decomposition_eligible,b_chl_eligible,rho_tau_distinct_cell,rho_tau_distinct_cell_fraction
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|15,5.0,5.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|17,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|22,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|24,9.0,8.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|25,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|26,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|27,16.0,15.0,-1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|29,8.0,8.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|31,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|32,17.0,17.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|33,6.0,6.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|34,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|39,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|41,8.0,7.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|42,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|0,9.0,8.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|1,4.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|2,5.0,5.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|3,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|5,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|6,6.0,6.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|8,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|9,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|14,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003U_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|0,13.0,13.0,0.0,a-c,,,,,,,,
